(197.0, 341.4, -201.3):(0.0, 0.7, 0.7, 0.0)
(255.7, 307.5, -225.0):(-0.1, 0.5, 0.6, -0.7)
(269.0, 302.0, -233.7):(-0.2, 0.1, 0.3, -0.9)
(286.6, 256.9, -152.0):(-0.2, -0.3, 0.1, -0.9)
(422.3, 164.2, -29.3):(-0.2, -0.4, 0.1, -0.9)
(559.1, 73.7, 88.6):(-0.2, -0.4, 0.1, -0.9)
(697.6, -18.0, 208.1):(-0.2, -0.4, 0.1, -0.9)
(742.5, -53.8, 275.9):(-0.1, 0.3, 0.1, -0.9)
(612.4, -49.8, 385.0):(0.0, 0.4, 0.1, -0.9)
(510.0, -55.6, 559.7):(0.0, 0.2, 0.1, -1.0)
